catalogue_release,measurement_id,physical_object_id,host_system_id,preferred_measurement_flag,preferred_measurement_reason,match_method,match_reference,identity_resolution_status
v2-dataset-catalogue,AURORA1914100182_baccus26,HZA-AURORA-1914-100182,HZS-AURORA-1914-100182,True,only admitted measurement for this newly added physical object,coordinate-redshift audit against existing catalogue,no existing object within 0.5 arcsec at consistent redshift,resolved
v2-dataset-catalogue,AURORA19148769_baccus26,HZA-AURORA-1914-8769,HZS-AURORA-1914-8769,True,only admitted measurement for this newly added physical object,coordinate-redshift audit against existing catalogue,no existing object within 0.5 arcsec at consistent redshift,resolved
v2-dataset-catalogue,AURORA1914927605_baccus26,HZA-AURORA-1914-927605,HZS-AURORA-1914-927605,True,only admitted measurement for this newly added physical object,coordinate-redshift audit against existing catalogue,no existing object within 0.5 arcsec at consistent redshift,resolved
v2-dataset-catalogue,AURORA1914928583_baccus26,HZA-AURORA-1914-928583,HZS-AURORA-1914-928583,True,only admitted measurement for this newly added physical object,coordinate-redshift audit against existing catalogue,no existing object within 0.5 arcsec at consistent redshift,resolved
v2-dataset-catalogue,BLUEJAY181019945_baccus26,HZA-BLUEJAY-1810-19945,HZS-BLUEJAY-1810-19945,True,only admitted measurement for this newly added physical object,coordinate-redshift audit against existing catalogue,no existing object within 0.5 arcsec at consistent redshift,resolved
v2-dataset-catalogue,CEERS00397_harikane23,HZA-CEERS-397,HZS-CEERS-397,False,prior-release preferred measurement retained for longitudinal reproducibility,coordinate-redshift match; manually reviewed,0.5 arcsec and delta-z 0.01 candidate thresholds,resolved
v2-dataset-catalogue,CEERS00672_harikane23,HZA-CEERS-672,HZS-CEERS-672,False,prior-release preferred measurement retained for longitudinal reproducibility,coordinate-redshift match; manually reviewed,0.5 arcsec and delta-z 0.01 candidate thresholds,resolved
v2-dataset-catalogue,CEERS00717_harikane23,HZA-CEERS-00717,HZS-CEERS-00717,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v2-dataset-catalogue,CEERS00746_harikane23,HZA-CEERS-746,HZS-CEERS-746,False,prior-release preferred measurement retained for longitudinal reproducibility,coordinate-redshift match; manually reviewed,0.5 arcsec and delta-z 0.01 candidate thresholds,resolved
v2-dataset-catalogue,CEERS01236_harikane23,HZA-CEERS-01236,HZS-CEERS-01236,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v2-dataset-catalogue,CEERS01244_harikane23,HZA-CEERS-1244,HZS-CEERS-1244,False,prior-release preferred measurement retained for longitudinal reproducibility,coordinate-redshift match; manually reviewed,0.5 arcsec and delta-z 0.01 candidate thresholds,resolved
v2-dataset-catalogue,CEERS01665_harikane23,HZA-CEERS-01665,HZS-CEERS-01665,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v2-dataset-catalogue,CEERS02782_harikane23,HZA-CEERS-2782,HZS-CEERS-2782,False,prior-release preferred measurement retained for longitudinal reproducibility,coordinate-redshift match; manually reviewed,0.5 arcsec and delta-z 0.01 candidate thresholds,resolved
