science_release,input_catalogue_release,physical_object_id,object_id,object_class,source_key,redshift,quality_flag,evidence_status,mass_comparability_group,growth_ranking_eligible_flag,primary_growth_ranking_flag,growth_ranking_eligibility_reason,source_caveat_tags,rank_global_navigation,rank_within_object_class,growth_pressure_tier,growth_pressure_score_0_100,required_fedd_seed1e2,required_log_mseed_fedd0p3,systematic_envelope_available_flag,required_fedd_seed1e2_systematic_low,required_fedd_seed1e2_systematic_high,edd_ratio_consistency_flag,edd_ratio_log_residual_dex,uncertainty_pressure_tier,prob_required_fedd_seed1e2_gt_1,required_fedd_seed1e2_p16,required_fedd_seed1e2_p50,required_fedd_seed1e2_p84,followup_priority_category,most_needed_followup,followup_value_score_0_100,rank_followup_global_navigation,rank_followup_within_object_class,global_rank_policy
v3-shared-science,v3-dataset-catalogue,HZA-UNCOVER-20466,UNCOVER-20466,broad_line_agn,greene24_uncover_blagn,8.5,robust,secure,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,canonical_numeric_mass_only,1,1,high,100.0,1.452204136497696,6.895385809419269,False,,,,,likely_high_pressure,1.0,1.3544982767343978,1.4525211315611513,1.549243339816533,A_robust_high_pressure,independent black-hole mass and accretion-history constraints,98.0,1,1,navigation_only_no_cross_class_demographic_inference
v3-shared-science,v3-dataset-catalogue,HZA-RUBIES-EGS-55604,RUBIES-EGS-55604,broad_line_agn,kocevski25_lrd_blagn,6.986,robust,secure,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,canonical_numeric_mass_only,3,2,high,100.0,1.2671353783012442,7.579324621856905,True,1.1804640117963714,1.3538067448061175,,,likely_high_pressure,1.0,1.249804823900041,1.2673198752382198,1.284154291838668,A_robust_high_pressure,independent black-hole mass and accretion-history constraints,98.0,2,2,navigation_only_no_cross_class_demographic_inference
v3-shared-science,v3-dataset-catalogue,HZA-GN-38509,GN-38509,broad_line_agn,juodzbalis25_jades_blagn,6.678,robust,secure,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,,4,3,high,98.44540599147037,1.064544199368414,6.71850336776117,True,1.0159348751963402,1.1131535235404875,consistent,0.0064618041732414,likely_high_pressure,0.8596,1.0051768597729878,1.065384970119578,1.1239951030176132,A_robust_high_pressure,independent black-hole mass and accretion-history constraints,97.62592435948822,3,3,navigation_only_no_cross_class_demographic_inference
v3-shared-science,v3-dataset-catalogue,HZA-CEERS-1019,CEERS-1019,broad_line_agn,larson23_ceers1019,8.679,robust,secure,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,canonical_numeric_mass_only,8,7,high,80.78322437948385,1.2051026925538062,5.717739870489339,False,,,,,likely_high_pressure,0.9883,1.115177475951217,1.2057919443419598,1.2929409043815228,A_robust_high_pressure,independent black-hole mass and accretion-history constraints,96.82359346276904,4,4,navigation_only_no_cross_class_demographic_inference
v3-shared-science,v3-dataset-catalogue,HZA-CEERS-00717,CEERS-00717,broad_line_agn,harikane23_nirspec_blagn,6.936,robust,secure,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,virial_calibration_at_z0;source_does_not_state_numeric_virial_systematic,7,6,high,81.93378689127388,1.0273631809780568,6.241730032955669,False,,,consistent,0.018489525501202,likely_high_pressure,0.8208,0.998048900260025,1.0275987680254794,1.0550756170605327,A_robust_high_pressure,independent black-hole mass and accretion-history constraints,96.55762721347644,5,5,navigation_only_no_cross_class_demographic_inference
v3-shared-science,v3-dataset-catalogue,HZA-ZS7,ZS7,broad_line_agn,ubler24_zs7_offset_blagn,7.15,robust,secure,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,canonical_numeric_mass_only,12,11,high,74.76582451026886,1.0233657049844471,6.029043086287528,False,,,,,likely_high_pressure,0.6249,0.953555566973486,1.0220268994417852,1.0931447567939125,A_robust_high_pressure,independent black-hole mass and accretion-history constraints,95.73574947061613,6,6,navigation_only_no_cross_class_demographic_inference
v3-shared-science,v3-dataset-catalogue,HZA-GOODS-N-9771,GOODS-N-9771,broad_line_agn,matthee23_eiger_fresco_blagn,5.538,robust,secure,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,halpha_absorption_fit;blueshifted_absorption_340_km_s;formal_mbh_errors_exclude_virial_systematic;nominal_mass_uncorrected_for_dust,9,8,high,75.85749677304578,0.8099785765046903,6.124009909645282,True,0.7481481508173095,0.8718090021920714,not_evaluable,,likely_high_pressure,0.0,0.8061988529649174,0.8099278028859704,0.8136036995032938,A_robust_high_pressure,independent black-hole mass and accretion-history constraints,94.55144980638275,7,7,navigation_only_no_cross_class_demographic_inference
v3-shared-science,v3-dataset-catalogue,HZA-UNCOVER-13821,UNCOVER-13821,broad_line_agn,greene24_uncover_blagn,6.34,robust,secure,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,canonical_numeric_mass_only,11,10,high,75.72326299642503,0.9155545348559576,6.101211363899901,False,,,,,likely_high_pressure,0.0013,0.8859482480442412,0.9152855284915844,0.9457404049545555,A_robust_high_pressure,independent black-hole mass and accretion-history constraints,94.5459957797855,8,8,navigation_only_no_cross_class_demographic_inference
v3-shared-science,v3-dataset-catalogue,HZA-GN-Z11,GN-z11,high_ionization_line_candidate,maiolino24_gnz11_agn,10.603,probable,probable,virial_uv_single_epoch,True,False,eligible_numeric_mass_with_resolved_identity_and_lensing,canonical_numeric_mass_only,2,1,high,100.0,1.4367242290706101,5.323004975829585,False,,,,,likely_high_pressure,1.0,1.3349747311652207,1.4393555092967567,1.5416888539067848,B_caveated_high_pressure,"resolve measurement or comparability caveats, then re-evaluate growth pressure",88.0,9,1,navigation_only_no_cross_class_demographic_inference
v3-shared-science,v3-dataset-catalogue,HZA-GS-20057765,GS-20057765,broad_line_agn,juodzbalis25_jades_blagn,8.913,tentative,probable,virial_balmer_single_epoch,True,True,eligible_numeric_mass_with_resolved_identity_and_lensing,,5,4,high,93.77309018057997,1.3553650821669596,6.150244064836379,False,,,consistent,-0.0220592787844985,likely_high_pressure,0.9797,1.1773841261281204,1.3554576697324894,1.5128604451061813,B_caveated_high_pressure,"resolve measurement or comparability caveats, then re-evaluate growth pressure",87.5857854108348,10,9,navigation_only_no_cross_class_demographic_inference
