raw_path,expected_rows,source_keys,source_locator,validation_checks,raw_sha256,validation_date,status,limitations
data/raw/baccus26_nirspec_blagn_table1_zge4_new.csv,49,baccus26_nirspec_blagn,arXiv:2512.03281v1 ObjectsTable.tex (Table 1),pinned-byte hash; exact row count; identifier uniqueness where applicable; source-family membership; 343 independent source-cell checks across all 49 admitted rows,4670243fa93a1eb7a3725374645a8c100d800aa7ba20b3e506a41628b3567833,2026-09-04,validated_against_pinned_source_and_adapter,Frozen values use the original preprint table. Revised publication values are not adopted; publication status does not identify the measurement version.
data/raw/davis26_thrils_blagn_table5.csv,7,historical_mixed_source_layer,published table(s) named in the extraction filename and source notes,pinned-byte hash; exact row count; identifier uniqueness where applicable; source-family membership,5df308674debef798b7e0fa0ca3847bd7fbea729a0ea6e857238e242913bfb2f,2026-09-03,validated_against_pinned_source_and_adapter,"Scientific interpretation and publication status remain governed by provenance, source notes, and evidence caveats."
data/raw/fei26_glimpse_blagn_tables1_2_new.csv,10,fei26_glimpse_blagn,published table(s) named in the extraction filename and source notes,pinned-byte hash; exact row count; identifier uniqueness where applicable; source-family membership,2da033418f99c19f0cd8a9615465cca13224d75f49ec69e74c6536bf8347aad9,2026-09-03,validated_against_pinned_source_and_adapter,"Scientific interpretation and publication status remain governed by provenance, source notes, and evidence caveats."
data/raw/greene24_uncover_blagn_table3.csv,9,greene24_uncover_blagn,published table(s) named in the extraction filename and source notes,pinned-byte hash; exact row count; identifier uniqueness where applicable; source-family membership,cf920319d33da00d5e4f1805f240e8d50dc6a966f0c9c27ab1b9a60b50d0383e,2026-09-03,validated_against_pinned_source_and_adapter,"Scientific interpretation and publication status remain governed by provenance, source notes, and evidence caveats."
data/raw/harikane23_nirspec_blagn_tables1_3.csv,10,historical_mixed_source_layer,published table(s) named in the extraction filename and source notes,pinned-byte hash; exact row count; identifier uniqueness where applicable; source-family membership,4ddbdc6065046827e6a58dcbe50b7d643bb78df07c554caaafc63dd51216ae3f,2026-09-03,validated_against_pinned_source_and_adapter,"Scientific interpretation and publication status remain governed by provenance, source notes, and evidence caveats."
data/raw/killi24_j0647_lrd.csv,1,killi24_j0647_lrd_blagn,"Published abstract, publisher-deposited Crossref record for DOI 10.1051/0004-6361/202348857",pinned-byte hash; exact row count; identifier uniqueness where applicable; source-family membership; independently checked final redshift and all three mass/error fields,5083a6a79170bf3786bc582792129d5456c92a2fdfd227f28338b2d6d897fa4a,2026-09-04,validated_against_pinned_source_and_adapter,Mass and asymmetric linear bounds are converted with log10 to eight decimals; no invented symmetric uncertainty. Archived preprint is not the final numerical source.
data/raw/kocevski25_lrd_blagn_table5_zge4_new.csv,6,kocevski25_lrd_blagn,published table(s) named in the extraction filename and source notes,pinned-byte hash; exact row count; identifier uniqueness where applicable; source-family membership,2a0f4905c917aee9ef37a39eb08512cee41df1ae75ba914e519b85b6bc50086e,2026-09-03,validated_against_pinned_source_and_adapter,"Scientific interpretation and publication status remain governed by provenance, source notes, and evidence caveats."
data/raw/larson23_ceers1019.csv,1,larson23_ceers1019,published table(s) named in the extraction filename and source notes,pinned-byte hash; exact row count; identifier uniqueness where applicable; source-family membership,55b90ce6a9f357fc3a6955a763c7bc04c7606572460580d0141e0c3257d2d0aa,2026-09-03,validated_against_pinned_source_and_adapter,"Scientific interpretation and publication status remain governed by provenance, source notes, and evidence caveats."
data/raw/lin24_aspire_blagn_tables1_3.csv,16,historical_mixed_source_layer,published table(s) named in the extraction filename and source notes,pinned-byte hash; exact row count; identifier uniqueness where applicable; source-family membership,31af083b99d3513ae88a31769d1e680d54d2f9d1e35bfc9329c0e15eae753298,2026-09-03,validated_against_pinned_source_and_adapter,"Scientific interpretation and publication status remain governed by provenance, source notes, and evidence caveats."
data/raw/maiolino24_gnz11_agn.csv,1,maiolino24_gnz11_agn,published table(s) named in the extraction filename and source notes,pinned-byte hash; exact row count; identifier uniqueness where applicable; source-family membership,1136795be6c487be10d19ea528f08333a189f7dd0ad09b3bc5a5d59cd13226dc,2026-09-03,validated_against_pinned_source_and_adapter,"Scientific interpretation and publication status remain governed by provenance, source notes, and evidence caveats."
data/raw/matthee23_eiger_fresco_blagn_tables1_3.csv,20,historical_mixed_source_layer,published table(s) named in the extraction filename and source notes,pinned-byte hash; exact row count; identifier uniqueness where applicable; source-family membership,4140a3bfa5af75d91dee48a18c9d9d1f919a22fc80c327ec9eb6df2234848847,2026-09-03,validated_against_pinned_source_and_adapter,"Scientific interpretation and publication status remain governed by provenance, source notes, and evidence caveats."
data/raw/ren25_alpine_cristal_jwst_table1.csv,7,historical_mixed_source_layer,published table(s) named in the extraction filename and source notes,pinned-byte hash; exact row count; identifier uniqueness where applicable; source-family membership,1e89f94461c76f1d821165be65e9eb6f610fd9190f0e508015377b8ee80c1cbf,2026-09-03,validated_against_pinned_source_and_adapter,"Scientific interpretation and publication status remain governed by provenance, source notes, and evidence caveats."
data/raw/ren25_alpine_cristal_jwst_table2_observables.csv,70,ren25_alpine_cristal_jwst_blagn_candidates,published table(s) named in the extraction filename and source notes,pinned-byte hash; exact row count; identifier uniqueness where applicable; source-family membership,4d84a348ad530510909d4081471e416197bf6d3dc7fac5544fc4db3de4733ccf,2026-09-03,validated_against_pinned_source_and_adapter,"Scientific interpretation and publication status remain governed by provenance, source notes, and evidence caveats."
data/raw/scholtz25_jades_narrow_line_agn_correction.csv,1,scholtz25_jades_narrow_line_agn,published table(s) named in the extraction filename and source notes,pinned-byte hash; exact row count; identifier uniqueness where applicable; source-family membership,0cfa83699034ac0b559a136d9c1542efa032746d0acccf77a1d7a629a938cc1d,2026-09-03,validated_against_pinned_source_and_adapter,"Scientific interpretation and publication status remain governed by provenance, source notes, and evidence caveats."
data/raw/scholtz25_jades_narrow_line_agn_zge4.csv,20,scholtz25_jades_narrow_line_agn,published table(s) named in the extraction filename and source notes,pinned-byte hash; exact row count; identifier uniqueness where applicable; source-family membership,eed9ce1d6a971b639494aef9842e35b0fa3dd69453316848954ab14757e37435,2026-09-03,validated_against_pinned_source_and_adapter,"Scientific interpretation and publication status remain governed by provenance, source notes, and evidence caveats."
data/raw/skyfire26_ceers_blagn_table3_zge4_mass.csv,22,skyfire26_ceers_blagn,published table(s) named in the extraction filename and source notes,pinned-byte hash; exact row count; identifier uniqueness where applicable; source-family membership,cb916150266003e25e2239f339553ada2b95efab71ba207a4b60e6bc19c525f6,2026-09-03,validated_against_pinned_source_and_adapter,"Scientific interpretation and publication status remain governed by provenance, source notes, and evidence caveats."
data/raw/taylor24_ceers_rubies_blagn_table1.csv,63,taylor24_ceers_rubies_blagn,published table(s) named in the extraction filename and source notes,pinned-byte hash; exact row count; identifier uniqueness where applicable; source-family membership,cac9152cceb2456e444d197e0267cdc09afe022b9e4a65bc2c10865ca92ff462,2026-09-03,validated_against_pinned_source_and_adapter,"Scientific interpretation and publication status remain governed by provenance, source notes, and evidence caveats."
