science_release,input_catalogue_release,source_key,source_paper_version,source_doi,source_url,n_measurements,n_physical_objects,n_growth_eligible_measurements,object_classes,mass_comparability_groups,evidence_statuses,selection_channels,source_caveat_tags,growth_exclusion_reasons,selection_criteria,demographic_inference_allowed
v2-shared-science,v2-dataset-catalogue,baccus26_nirspec_blagn,"ApJ 1006, 165 (2026);measurement values: arXiv:2512.03281v1",10.3847/1538-4357/ae7de7,https://doi.org/10.3847/1538-4357/ae7de7,49,49,49,broad_line_agn,virial_balmer_single_epoch,probable;secure,broad_halpha,canonical_numeric_mass_only,,JWST/NIRSpec broad-Halpha catalogue objects at z>=4 that are new to the atlas and do not require an unreported cluster-lensing correction,False
v2-shared-science,v2-dataset-catalogue,davis26_thrils_blagn,2026-02-26);arXiv:2602.23310v1 (submitted to ApJ,10.48550/arXiv.2602.23310,https://arxiv.org/abs/2602.23310v1,6,6,6,broad_line_agn,virial_balmer_single_epoch,secure,deep_g395m_broad_halpha;photometric_eelg_parent,catastrophic_photometric_redshift;first_spectroscopic_targeting_reported;formal_mbh_errors_exclude_virial_systematic;fwhm_not_tabulated;narrow_halpha_dominated;previous_ceers_spectrum_no_reported_broad_detection;previous_rubies_spectrum_no_reported_broad_detection;source_extreme_eelg_row_assignments_internally_inconsistent,,broad component >3 sigma and implied FWHM >1000 km/s;deep 8.36-8.85 hr NIRSpec G395M;photometric EELG parent sample,False
v2-shared-science,v2-dataset-catalogue,fei26_glimpse_blagn,"ApJ 1003, 244 (2026);arXiv:2509.20452v3",10.3847/1538-4357/ae6248,https://doi.org/10.3847/1538-4357/ae6248,10,10,10,broad_line_agn,virial_balmer_single_epoch,candidate;secure,broad_halpha,canonical_numeric_mass_only,,JWST/NIRSpec G395M broad-Halpha AGN at 4.5<z<7 with source-reported lensing corrections and numerical virial masses,False
v2-shared-science,v2-dataset-catalogue,greene24_uncover_blagn,"ApJ 964, 39 (2024);arXiv:2309.05714",10.3847/1538-4357/ad1e5f,https://doi.org/10.3847/1538-4357/ad1e5f,9,9,9,broad_line_agn,virial_balmer_single_epoch,secure,broad_halpha;broad_hbeta,canonical_numeric_mass_only,,JWST/NIRSpec PRISM definitive broad-Balmer AGN with a published numerical virial mass,False
v2-shared-science,v2-dataset-catalogue,harikane23_nirspec_blagn,The Astrophysical Journal 959:39 (2023);arXiv:2303.11946v3,10.3847/1538-4357/ad029e,https://doi.org/10.3847/1538-4357/ad029e,10,10,10,broad_line_agn,virial_balmer_single_epoch,secure,broad_halpha,broad_civ_and_tentative_heii;compact_source;dual_agn_candidate;dust_extinction_corrected;host_mass_upper_limit;narrow_oiii_outflow_component;red_agn;source_does_not_state_numeric_virial_systematic;virial_calibration_at_z0,,NIRSpec parent sample at zspec 3.8-8.9;final rows have Delta AIC >20;narrow forbidden lines;outflow-component veto;permitted broad Halpha FWHM >1000 km/s and S/N >5,False
v2-shared-science,v2-dataset-catalogue,juodzbalis25_jades_blagn,"MNRAS 546, stag086 (2026);arXiv:2504.03551",,https://arxiv.org/abs/2504.03551,23,23,23,broad_line_agn,virial_balmer_single_epoch,probable;secure,broad_balmer_line,,,JADES spectroscopic Type 1 broad-line AGN sample,False
v2-shared-science,v2-dataset-catalogue,killi24_j0647_lrd_blagn,"A&A 691, A52 (2024);publisher-deposited final abstract",10.1051/0004-6361/202348857,https://doi.org/10.1051/0004-6361/202348857,1,1,1,broad_line_agn,virial_balmer_single_epoch,secure,broad_halpha,canonical_numeric_mass_only,,JWST/NIRSpec PRISM broad-Halpha LRD with a published numerical virial mass,False
v2-shared-science,v2-dataset-catalogue,kocevski25_lrd_blagn,"ApJ 986, 126 (2025);arXiv:2404.03576v3",10.3847/1538-4357/adbc7d,https://doi.org/10.3847/1538-4357/adbc7d,6,6,6,broad_line_agn,virial_balmer_single_epoch,secure,broad_halpha;broad_hbeta,canonical_numeric_mass_only,,JWST/RUBIES secure new broad-line detections at z>=4 absent from the existing Taylor ingestion,False
v2-shared-science,v2-dataset-catalogue,larson23_ceers1019,"ApJL 953, L29 (2023);arXiv:2303.08918",10.3847/2041-8213/ace619,https://doi.org/10.3847/2041-8213/ace619,1,1,1,broad_line_agn,virial_balmer_single_epoch,secure,broad_hbeta,canonical_numeric_mass_only,,JWST/NIRSpec broad-Hbeta identification of CEERS 1019,False
v2-shared-science,v2-dataset-catalogue,lin24_aspire_blagn,The Astrophysical Journal 974:147 (2024);arXiv:2407.17570v1,10.3847/1538-4357/ad6565,https://doi.org/10.3847/1538-4357/ad6565,16,16,16,broad_line_agn,virial_balmer_single_epoch,probable;secure,broad_halpha,absorption_interpretation_uncertain;blueshifted_halpha_absorption_266_km_s;blueshifted_halpha_absorption_357_km_s;blueshifted_halpha_absorption_586_km_s;broad_fwhm_near_1000_km_s_selection_boundary;formal_mbh_errors_exclude_virial_systematic;narrow_halpha_unresolved;nearby_companions_and_overdensity;nominal_mass_and_lbol_uncorrected_for_dust;total_luminosity_reported_without_absorption;two_broad_components_total_profile_used_for_mass,,compact red photometric preselection;integrated line S/N >5;robust broad Halpha FWHM >1000 km/s;visual artifact and contamination rejection,False
v2-shared-science,v2-dataset-catalogue,matthee23_eiger_fresco_blagn,The Astrophysical Journal 963:129 (2024);arXiv:2306.05448v3,10.3847/1538-4357/ad2345,https://doi.org/10.3847/1538-4357/ad2345,20,20,20,broad_line_agn,virial_balmer_single_epoch,secure,broad_halpha,blueshifted_absorption_340_km_s;complex_morphology_five_exponential_components;crossmatch_GS-204851;flat_optical_continuum_exception_to_sample_trend;foreground_trace_contamination_red_wing_excluded;formal_mbh_errors_exclude_virial_systematic;halpha_absorption_fit;narrow_flux_absorption_degenerate;nominal_mass_uncorrected_for_dust;redshifted_absorption_50_km_s,,broad FWHM >1000 km/s;broad Halpha S/N >5;broad Halpha luminosity >2e42 erg/s;visual rejection of spatial-broadening impostors,False
v2-shared-science,v2-dataset-catalogue,ren25_alpine_cristal_jwst_blagn_candidates,"MNRAS 544, 211-233 (published 2025-10-25;arXiv:2509.02027v2;corrected/typeset 2025-10-28)",10.1093/mnras/staf1709,https://academic.oup.com/mnras/article/544/1/211/8301219,7,7,7,broad_line_agn,virial_balmer_single_epoch,candidate;probable,broad_halpha;host_selected,barely_above_4sigma;bpt_agn_region;complex_gas_kinematics_may_mimic_blr;complex_merger_system;distinct_broad_halpha_and_outflow_kinematics;flux_ratio_and_kinematics_favor_blr;formal_mbh_errors_exclude_0p4dex_virial_systematic;heii_detected_gt3sigma;instrument_corrected_fwhm_below_600_km_s;intermediate_width_component;local_bpt_composite_region;merger_system;minor_merger_or_tidal_feature;most_robust_candidate;no_oiii_outflow;no_oiii_outflow_at_peak;no_oiii_outflow_at_peak_b;oiii_outflow_detected;oiii_outflow_rejected;psf_like_broad_component;shared_integrated_host_mass;stable_narrow_broad_outflow_fit;system_outflow_centered_at_peak_d;table1_flux_is_dust_corrected,,18 main-sequence galaxies with Mstar>10^9.5 Msun at z=4.4-5.7;33 IFU photometric-centre apertures;DeltaBIC(narrow minus narrow+broad)>10;OIII outflow comparison and broad-to-narrow flux-ratio veto;added broad Halpha Gaussian constrained FWHM>600 km/s;broad-flux S/N>3;narrow FWHM<600 km/s,False
v2-shared-science,v2-dataset-catalogue,skyfire26_ceers_blagn,arXiv:2609.00112v1 (2026),10.48550/arXiv.2609.00112,https://arxiv.org/abs/2609.00112v1,22,22,22,broad_line_agn,virial_balmer_single_epoch,secure,broad_halpha,canonical_numeric_mass_only,,JWST/NIRSpec G395M broad-Halpha sources at z>=4 with a published numerical mass,False
v2-shared-science,v2-dataset-catalogue,taylor24_ceers_rubies_blagn,The Astrophysical Journal 986:165 (2025);arXiv:2409.06772v2,10.3847/1538-4357/add15b,https://iopscience.iop.org/article/10.3847/1538-4357/add15b,37,36,37,broad_line_agn,virial_balmer_single_epoch,candidate;probable;secure,broad_halpha,alternative_non_agn_compact_galaxy_broadening;duplicate_observation;formal_mbh_errors_exclude_virial_systematic;halpha_absorption_component_fit;nominal_mass_uncorrected_for_dust;possible_outflow_contribution;severe_spatially_dependent_slit_loss;source_nonpreferred_duplicate_measurement;source_preferred_duplicate_measurement,,Delta BIC >6;JWST/NIRSpec G395M Halpha;broad FWHM >700 km/s;broad flux S/N >4;secure multi-line spectroscopic redshift;visual QA,False
v2-shared-science,v2-dataset-catalogue,ubler24_zs7_offset_blagn,"MNRAS 531, 355 (2024);arXiv:2312.03589v2",10.1093/mnras/stae943,https://doi.org/10.1093/mnras/stae943,1,1,1,broad_line_agn,virial_balmer_single_epoch,secure,broad_hbeta,canonical_numeric_mass_only,,JWST/NIRSpec IFU spatially offset broad-Hbeta Type-1 AGN in ZS7,False
