catalogue_release,catalogue_view,stratum_type,stratum_value,n_rows,n_high_pressure,n_medium_pressure,n_low_pressure,median_required_fedd_seed1e2,median_required_log_mseed_fedd0p3,top_ranking_id,top_object_id,top_growth_pressure_score,demographic_inference_allowed,selection_function_note,interpretation_note
v3-blagn,measurement,overall,all,60,6,12,42,0.5987774164938404,4.6421701459819635,GN38509_juodzbalis25,GN-38509,98.44540599147037,False,descriptive only: mixes JADES and CEERS/RUBIES selection functions,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,measurement,source,juodzbalis25_jades_blagn,23,5,4,14,0.6446687827961851,4.748074035612936,GN38509_juodzbalis25,GN-38509,98.44540599147037,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,measurement,source,taylor24_ceers_rubies_blagn,37,1,8,28,0.5915713381378073,4.539839576801608,RUBIESEGS49140_taylor24,RUBIES-EGS-49140,87.49084949824412,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,measurement,survey,CEERS,5,0,1,4,0.6065964089731533,4.58080857980004,CEERS397_taylor24,CEERS-397,51.24852742210535,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,measurement,survey,JADES,23,5,4,14,0.6446687827961851,4.748074035612936,GN38509_juodzbalis25,GN-38509,98.44540599147037,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,measurement,survey,RUBIES,32,1,7,24,0.5687184085176036,4.365261306881815,RUBIESEGS49140_taylor24,RUBIES-EGS-49140,87.49084949824412,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,measurement,field,EGS,19,1,2,16,0.6011656815933784,4.58080857980004,RUBIESEGS49140_taylor24,RUBIES-EGS-49140,87.49084949824412,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,measurement,field,UDS,18,0,6,12,0.521081569890159,4.065192734237636,RUBIESUDS807469_taylor24,RUBIES-UDS-807469,59.3788636079503,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,measurement,field,not_reported,23,5,4,14,0.6446687827961851,4.748074035612936,GN38509_juodzbalis25,GN-38509,98.44540599147037,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,measurement,lrd_phenotype,lrd,17,1,4,12,0.645669392381483,4.8404971656207465,RUBIESEGS49140_taylor24,RUBIES-EGS-49140,87.49084949824412,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,measurement,lrd_phenotype,non_lrd,20,0,4,16,0.5115867135639719,4.017596338432797,RUBIESUDS807469_taylor24,RUBIES-UDS-807469,59.3788636079503,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,measurement,lrd_phenotype,not_reported_by_source,23,5,4,14,0.6446687827961851,4.748074035612936,GN38509_juodzbalis25,GN-38509,98.44540599147037,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,measurement,survey_field,CEERS/EGS,5,0,1,4,0.6065964089731533,4.58080857980004,CEERS397_taylor24,CEERS-397,51.24852742210535,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,measurement,survey_field,JADES/not_reported,23,5,4,14,0.6446687827961851,4.748074035612936,GN38509_juodzbalis25,GN-38509,98.44540599147037,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,measurement,survey_field,RUBIES/EGS,14,1,1,12,0.5735155802453891,4.490940039328377,RUBIESEGS49140_taylor24,RUBIES-EGS-49140,87.49084949824412,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,measurement,survey_field,RUBIES/UDS,18,0,6,12,0.521081569890159,4.065192734237636,RUBIESUDS807469_taylor24,RUBIES-UDS-807469,59.3788636079503,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,physical_object,overall,all,59,6,12,41,0.6011656815933784,4.703531712163887,HZA-GN-38509,GN-38509,98.44540599147037,False,descriptive only: mixes JADES and CEERS/RUBIES selection functions,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,physical_object,source,juodzbalis25_jades_blagn,23,5,4,14,0.6446687827961851,4.748074035612936,HZA-GN-38509,GN-38509,98.44540599147037,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,physical_object,source,taylor24_ceers_rubies_blagn,36,1,8,27,0.5963685098655929,4.549702570454237,HZA-RUBIES-EGS-49140,RUBIES-EGS-49140,87.49084949824412,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,physical_object,survey,CEERS,4,0,1,3,0.6374644011836511,4.748120824601887,HZA-CEERS-397,CEERS-397,51.24852742210535,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,physical_object,survey,JADES,23,5,4,14,0.6446687827961851,4.748074035612936,HZA-GN-38509,GN-38509,98.44540599147037,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,physical_object,survey,RUBIES,32,1,7,24,0.5687184085176036,4.365261306881815,HZA-RUBIES-EGS-49140,RUBIES-EGS-49140,87.49084949824412,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,physical_object,field,EGS,18,1,2,15,0.6038810452832658,4.675381302900798,HZA-RUBIES-EGS-49140,RUBIES-EGS-49140,87.49084949824412,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,physical_object,field,UDS,18,0,6,12,0.521081569890159,4.065192734237636,HZA-RUBIES-UDS-807469,RUBIES-UDS-807469,59.3788636079503,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,physical_object,field,not_reported,23,5,4,14,0.6446687827961851,4.748074035612936,HZA-GN-38509,GN-38509,98.44540599147037,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,physical_object,lrd_phenotype,lrd,17,1,4,12,0.645669392381483,4.8404971656207465,HZA-RUBIES-EGS-49140,RUBIES-EGS-49140,87.49084949824412,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,physical_object,lrd_phenotype,non_lrd,19,0,4,15,0.5023647274044402,3.957726172908227,HZA-RUBIES-UDS-807469,RUBIES-UDS-807469,59.3788636079503,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,physical_object,lrd_phenotype,not_reported_by_source,23,5,4,14,0.6446687827961851,4.748074035612936,HZA-GN-38509,GN-38509,98.44540599147037,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,physical_object,survey_field,CEERS/EGS,4,0,1,3,0.6374644011836511,4.748120824601887,HZA-CEERS-397,CEERS-397,51.24852742210535,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,physical_object,survey_field,JADES/not_reported,23,5,4,14,0.6446687827961851,4.748074035612936,HZA-GN-38509,GN-38509,98.44540599147037,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,physical_object,survey_field,RUBIES/EGS,14,1,1,12,0.5735155802453891,4.490940039328377,HZA-RUBIES-EGS-49140,RUBIES-EGS-49140,87.49084949824412,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
v3-blagn,physical_object,survey_field,RUBIES/UDS,18,0,6,12,0.521081569890159,4.065192734237636,HZA-RUBIES-UDS-807469,RUBIES-UDS-807469,59.3788636079503,False,descriptive stratum only: no cross-source completeness correction or demographic pooling,Growth-pressure rankings are observational triage under stated assumptions; they do not identify or prove a black-hole seed channel.
