catalogue_release,measurement_id,physical_object_id,host_system_id,preferred_measurement_flag,preferred_measurement_reason,match_method,match_reference,identity_resolution_status
v3-dataset-catalogue,CEERS00397_harikane23,HZA-CEERS-397,HZS-CEERS-397,False,prior-release preferred measurement retained for longitudinal reproducibility,coordinate-redshift match; manually reviewed,0.5 arcsec and delta-z 0.01 candidate thresholds,resolved
v3-dataset-catalogue,CEERS00672_harikane23,HZA-CEERS-672,HZS-CEERS-672,False,prior-release preferred measurement retained for longitudinal reproducibility,coordinate-redshift match; manually reviewed,0.5 arcsec and delta-z 0.01 candidate thresholds,resolved
v3-dataset-catalogue,CEERS00717_harikane23,HZA-CEERS-00717,HZS-CEERS-00717,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v3-dataset-catalogue,CEERS00746_harikane23,HZA-CEERS-746,HZS-CEERS-746,False,prior-release preferred measurement retained for longitudinal reproducibility,coordinate-redshift match; manually reviewed,0.5 arcsec and delta-z 0.01 candidate thresholds,resolved
v3-dataset-catalogue,CEERS01236_harikane23,HZA-CEERS-01236,HZS-CEERS-01236,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v3-dataset-catalogue,CEERS01244_harikane23,HZA-CEERS-1244,HZS-CEERS-1244,False,prior-release preferred measurement retained for longitudinal reproducibility,coordinate-redshift match; manually reviewed,0.5 arcsec and delta-z 0.01 candidate thresholds,resolved
v3-dataset-catalogue,CEERS01665_harikane23,HZA-CEERS-01665,HZS-CEERS-01665,True,only catalogue measurement in this release,singleton assignment after coordinate-redshift search,no candidate within 0.5 arcsec and delta-z 0.01,resolved
v3-dataset-catalogue,CEERS02782_harikane23,HZA-CEERS-2782,HZS-CEERS-2782,False,prior-release preferred measurement retained for longitudinal reproducibility,coordinate-redshift match; manually reviewed,0.5 arcsec and delta-z 0.01 candidate thresholds,resolved
v3-dataset-catalogue,CEERS1019_larson23,HZA-CEERS-1019,HZS-CEERS-1019,True,only admitted measurement for this newly added physical object,coordinate-redshift audit against existing catalogue,no existing object within 0.5 arcsec at consistent redshift,resolved
v3-dataset-catalogue,CEERS1025_tang25,HZA-CEERS-1025,HZS-CEERS-1025,True,only admitted measurement for this newly added physical object,source-ID and coordinate/redshift audit,no previously admitted physical object after explicit alias exclusions,resolved
v3-dataset-catalogue,CEERS1029_mazzolari24,HZA-CEERS-1029,HZS-CEERS-1029,True,only admitted measurement for this newly added physical object,source-ID and coordinate/redshift audit,no previously admitted physical object after explicit alias exclusions,resolved
v3-dataset-catalogue,CEERS1064_mazzolari24,HZA-CEERS-1064,HZS-CEERS-1064,True,only admitted measurement for this newly added physical object,source-ID and coordinate/redshift audit,no previously admitted physical object after explicit alias exclusions,resolved
v3-dataset-catalogue,CEERS1173_mazzolari24,HZA-CEERS-1173,HZS-CEERS-1173,True,only admitted measurement for this newly added physical object,source-ID and coordinate/redshift audit,no previously admitted physical object after explicit alias exclusions,resolved
v3-dataset-catalogue,CEERS1212_mazzolari24,HZA-CEERS-1212,HZS-CEERS-1212,True,only admitted measurement for this newly added physical object,source-ID and coordinate/redshift audit,no previously admitted physical object after explicit alias exclusions,resolved
